source_file,converted_file,remote_path,cdn_url,status
"/Users/muratsag/Downloads/Slim30 Videolar/Skater Jump.mov","/Users/muratsag/Downloads/Slim30_Videolar_mp4/Skater_Jump.mp4","workouts/v1/Skater_Jump.mp4","https://slim30.b-cdn.net/workouts/v1/Skater_Jump.mp4",ok
"/Users/muratsag/Downloads/Slim30 Videolar/Glute Bridge March.mp4","/Users/muratsag/Downloads/Slim30_Videolar_mp4/Glute_Bridge_March.mp4","workouts/v1/Glute_Bridge_March.mp4","https://slim30.b-cdn.net/workouts/v1/Glute_Bridge_March.mp4",ok
"/Users/muratsag/Downloads/Slim30 Videolar/Plank Jack.mov","/Users/muratsag/Downloads/Slim30_Videolar_mp4/Plank_Jack.mp4","workouts/v1/Plank_Jack.mp4","https://slim30.b-cdn.net/workouts/v1/Plank_Jack.mp4",ok
"/Users/muratsag/Downloads/Slim30 Videolar/sumo squat.mov","/Users/muratsag/Downloads/Slim30_Videolar_mp4/sumo_squat.mp4","workouts/v1/sumo_squat.mp4","https://slim30.b-cdn.net/workouts/v1/sumo_squat.mp4",ok
"/Users/muratsag/Downloads/Slim30 Videolar/Jumping Jack.mov","/Users/muratsag/Downloads/Slim30_Videolar_mp4/Jumping_Jack.mp4","workouts/v1/Jumping_Jack.mp4","https://slim30.b-cdn.net/workouts/v1/Jumping_Jack.mp4",ok
"/Users/muratsag/Downloads/Slim30 Videolar/Plank.mov","/Users/muratsag/Downloads/Slim30_Videolar_mp4/Plank.mp4","workouts/v1/Plank.mp4","https://slim30.b-cdn.net/workouts/v1/Plank.mp4",ok
"/Users/muratsag/Downloads/Slim30 Videolar/Standing Calf Raise.mov","/Users/muratsag/Downloads/Slim30_Videolar_mp4/Standing_Calf_Raise.mp4","workouts/v1/Standing_Calf_Raise.mp4","https://slim30.b-cdn.net/workouts/v1/Standing_Calf_Raise.mp4",ok
"/Users/muratsag/Downloads/Slim30 Videolar/Wall Sit.mov","/Users/muratsag/Downloads/Slim30_Videolar_mp4/Wall_Sit.mp4","workouts/v1/Wall_Sit.mp4","https://slim30.b-cdn.net/workouts/v1/Wall_Sit.mp4",ok
"/Users/muratsag/Downloads/Slim30 Videolar/Push-Up.mov","/Users/muratsag/Downloads/Slim30_Videolar_mp4/Push-Up.mp4","workouts/v1/Push-Up.mp4","https://slim30.b-cdn.net/workouts/v1/Push-Up.mp4",ok
"/Users/muratsag/Downloads/Slim30 Videolar/Butt Kicks.mp4","/Users/muratsag/Downloads/Slim30_Videolar_mp4/Butt_Kicks.mp4","workouts/v1/Butt_Kicks.mp4","https://slim30.b-cdn.net/workouts/v1/Butt_Kicks.mp4",ok
